map_id,priority,match_geological_material,match_grain_or_rock,engineering_material_family,engineering_ground_type,geotech_term_ja,geotech_term_en,geotech_synonyms_ja,rationale_en,source_ref
L2_fill,10,artificial,*,artificial_ground,artificial_fill_reclaimed_ground,人工地盤（盛土・埋立地）,Artificial fill / reclaimed ground,盛土;埋立地;人工改変地,Human-placed material is treated as artificial ground regardless of parent lithology.,GSJ_MAP
L2_fault,12,structure,*,fault_fracture,fault_fracture_zone,断層・破砕帯,Fault / fracture zone,破砕帯;せん断帯,Structural zones are flagged as fault/fracture ground; reclassify polygons only near mapped structures.,GSJ_MAP
L2_organic,15,sediment_soil,fine_organic,soft_soil,young_unconsolidated_soil,軟弱地盤（有機質土・腐植土）,Young unconsolidated soft soil (organic),腐植土;泥炭;有機質粘土,Organic/peaty Holocene soil = very soft compressible ground.,JSEG_ALLUVIUM_DILUVIUM
L2_ash,20,sediment_soil,volcanic_ash,volcanic_ash_soil,volcanic_ash_loam,火山灰質粘性土（関東ローム）,Volcanic ash soil / Kanto Loam,ローム;火山灰質土;黒ボク,Aeolian volcanic ash soil mapped to the Kanto Loam ground type.,GSJ_BULL_KANTO_LOAM
L2_soft_fine,25,sediment_soil,fine_soil,soft_soil,young_unconsolidated_soil,軟弱地盤（粘性土）,Young unconsolidated soft soil,軟弱粘性土;シルト,Fine-grained young soil treated as potentially soft/compressible.,JSEG_ALLUVIUM_DILUVIUM
L2_alluvium_mixed,30,sediment_soil,mixed_soil,alluvial_soil,alluvial_lowland_deposits,沖積低地地盤,Alluvial lowland deposits,沖積層;軟弱～中位地盤,Interbedded Holocene soils mapped to alluvial lowland ground type.,JSEG_ALLUVIUM_DILUVIUM
L2_terrace,35,sediment_soil,terrace_gravel,terrace_soil,terrace_deposits,段丘（洪積）地盤,Terrace (diluvial) deposits,洪積層;段丘礫層;支持層候補,Overconsolidated Pleistocene terrace; commonly a candidate bearing stratum.,JSEG_ALLUVIUM_DILUVIUM
L2_coarse_default,40,sediment_soil,coarse_soil,alluvial_soil,alluvial_lowland_deposits,砂礫地盤,Granular (sand/gravel) ground,砂礫;砂質土,Granular soil without age context treated conservatively as alluvial granular ground.,JSEG_ALLUVIUM_DILUVIUM
L2_weak_rock,45,sedimentary_rock,weak_rock,weak_rock,weak_sedimentary_rock,軟岩（堆積岩）,Weak sedimentary rock,軟岩;泥岩;砂岩;砂泥互層,Weakly lithified sedimentary rock (UCS typically < ~25 MPa) -> weak rock ground type.,JGS_3811_ROCK
L2_moderate_rock,46,sedimentary_rock,moderate_hard_rock,weak_rock,weak_sedimentary_rock,中硬岩（堆積岩・付加体）,Moderately hard bedded rock,中硬岩;砂岩頁岩互層;付加体,Harder bedded accretionary rock; still bedding/structure-controlled (note higher strength).,JGS_3811_ROCK
L2_pyroclastic,50,pyroclastic,*,pyroclastic_ground,pyroclastic_tuffaceous_ground,火砕物・凝灰質地盤,Pyroclastic / tuffaceous ground,凝灰岩;火砕流堆積物,Tuff/pyroclastic rock mapped to pyroclastic ground type; induration variable.,ROCK_ENG_NOTE
L2_hard_rock,55,igneous_metamorphic,*,hard_rock,hard_crystalline_rock,硬岩（結晶質岩）,Hard crystalline rock,硬岩;花崗岩;結晶質岩,Crystalline/igneous rock mapped to hard rock ground type; weathered mantle near surface.,JGS_3811_ROCK
